Ingredient,UPC
Partida Reposado Tequila,701530510303
Aperol,086785900001
Hine V.S.O.P. Cognac,736040508564
Martini Sweet Vermouth,011034410055
Cherry Heering,5701005450139
Marie Brizard Orange Curacao,685701000209
Don Julio Reposado Tequila,674545000414
Barenjager Honey Liqueur,083089533003
Fee Brothers Old Fashion Bitters,791863140506
Elijah Craig 12-Year-Old Bourbon,096749000067
Plymouth Gin,652080000083
Lillet Blanc,083664866281
St. Germain Elderflower Liqueur,898804001008
Green Chartreuse,089744329615
Rittenhouse Bonded Rye Whiskey,096749702756
Campari,721059047500
Carpano Antica Sweet Vermouth,898563002506
Tanqueray Gin,088110110307
Beefeater Gin,089540333496
Luxardo Maraschino Liqueur,086891026237
Hendrick's Gin,083664990436
Yellow Chartreuse,089744329561
Cointreau,087236565107
Fernet Branca,084105307509
Punt e Mes,084105311315
Luxardo Amaretto,086891026251
Averna Amaro,701530290502
Aviation Gin,853507000024